total_contributions,code_churn,pr_efficiency,issue_resolution_rate,repo_popularity_score,contributor_influence_score,commit_efficiency,addition_efficiency,deletion_efficiency,pr_quality,issue_quality,pr_review_participation,collaboration_score,target,Git_Contributor_ID,Git_UserName,Repo_Name,Repo_Owner,Type_of_User,Git_Score,candidate_priority,predicted_probability,combined_score,rank_in_repo,global_rank
1558.0,7217,0.8333333333333334,1.0,414027,1406035692,3.561200923787529,35.748267898383375,19.080831408775982,0.8333333333333334,1.0,0.75,11,1,MDQ6VXNlcjIwMjI4MDM=,vhf,free-programming-books,free-programming-books,User,1571357.0,1,1.0,314272.10000002384,29.0,1.0
327.0,534,0.9090909090909091,1.0,414027,100608561,0.6951501154734411,7.378752886836028,6.145496535796767,0.9090909090909091,1.0,0.0,2,1,MDQ6VXNlcjI2OTQ5NDk=,MHM5000,free-programming-books,free-programming-books,User,308719.0,1,0.9997818,61744.49986907244,26.0,2.0
537.0,2953,0.9520958083832335,0.8695652173913043,414027,173891340,0.371824480369515,16.734411085450347,9.914549653579677,0.9520958083832335,0.8695652173913043,2.4624624624624625,840,1,MDQ6VXNlcjMxMjU1ODA=,davorpa,free-programming-books,free-programming-books,User,320879.0,1,0.9998881,64176.49993290901,28.0,3.0
180.0,213,0.8695652173913043,0.8695652173913043,414027,31466052,0.3094688221709007,0.6327944572748267,0.14087759815242495,0.8695652173913043,0.0,0.0,0,1,MDQ6VXNlcjU3OTAzMjE=,alexanderfefelov,free-programming-books,free-programming-books,User,137621.0,1,0.8349612,27524.800976741313,24.0,4.0
415.0,250,0.9290780141843972,1.0,414027,35192295,0.302540415704388,0.7159353348729792,0.13856812933025403,0.9290780141843972,1.0,0.0,1,1,MDQ6VXNlcjMyMTQwMjg5,MrS4w,free-programming-books,free-programming-books,User,151830.0,1,0.98299164,30366.6897949934,25.0,5.0
430.0,563,0.9801980198019802,0.8524590163934426,414027,223988607,0.26558891454965355,8.290993071593533,6.990762124711316,0.9801980198019802,0.8524590163934426,5.816831683168317,1227,1,MDQ6VXNlcjkyNjUxMw==,eshellman,free-programming-books,free-programming-books,User,314788.0,1,0.99996954,62958.29998172522,27.0,6.0
220.0,452,0.9824561403508771,0.9824561403508771,414027,23185512,0.24480369515011546,2.3903002309468824,1.346420323325635,0.9824561403508771,0.0,0.0,0,1,MDQ6VXNlcjEwMzcwODg=,esparta,free-programming-books,free-programming-books,User,116144.0,1,0.8241765,23229.394505912067,23.0,7.0
288.0,219,0.9166666666666666,1.0,414027,64174185,0.20323325635103925,0.6189376443418014,0.11316397228637413,0.9166666666666666,1.0,0.18229166666666666,39,1,MDQ6VXNlcjEwMTAwNjU5,kadhirash,free-programming-books,free-programming-books,User,107582.0,1,0.75216377,21516.95129826665,22.0,8.0
224.0,359,0.9866666666666667,0.9866666666666667,414027,78251103,0.17090069284064666,0.8983833718244804,0.06928406466512702,0.9866666666666667,0.0,0.006666666666666667,1,0,MDQ6VXNlcjQwNzk2MzQ=,mcicolella,free-programming-books,free-programming-books,User,85928.0,1,0.60806,17186.064836007357,20.0,9.0
263.0,143,0.9705882352941176,1.0,414027,21943431,0.16397228637413394,0.47113163972286376,0.8013856812933026,0.9705882352941176,1.0,0.014705882352941176,63,0,MDQ6VXNlcjkyODgxMg==,borgified,free-programming-books,free-programming-books,User,78324.0,1,0.4566016,15665.173960977794,19.0,10.0
126.0,165,0.9642857142857143,0.9642857142857143,414027,9936648,0.16166281755196305,0.46420323325635104,0.08314087759815242,0.9642857142857143,0.0,0.0,0,0,MDQ6VXNlcjMyMjEzNQ==,ericguirbal,free-programming-books,free-programming-books,User,74381.0,1,0.3641798,14876.518507885934,18.0,11.0
228.0,89,0.85,0.85,414027,6210405,0.15704387990762125,0.27713625866050806,0.07159353348729793,0.85,0.0,0.2875,46,0,MDQ6VXNlcjM3NjI1MTEy,Ajay-singh1,free-programming-books,free-programming-books,User,86106.0,1,0.4881284,17221.592877048253,21.0,12.0
174.0,129,1.0,1.0,414027,17803161,0.12933025404157045,0.8545034642032333,0.5565819861431871,1.0,1.0,0.008928571428571428,4,0,MDQ6VXNlcjE4MTY0NDg=,TimoSalomaki,free-programming-books,free-programming-books,User,65279.0,1,0.18878542,13056.013271258773,16.0,14.0
116.0,1113,0.8709677419354839,1.0,414027,29395917,0.11547344110854503,8.1824480369515,5.612009237875289,0.8709677419354839,1.0,0.0,2,0,MDQ6VXNlcjYzNjY0MA==,maieul,free-programming-books,free-programming-books,User,60424.0,2,0.13869444,12085.083216667177,14.0,15.0
135.0,159,0.8888888888888888,0.75,414027,101850642,0.08775981524249422,0.7782909930715936,0.4110854503464203,0.8888888888888888,0.75,1.3666666666666667,126,0,MDQ6VXNlcjIyODAxNTgz,SethFalco,free-programming-books,free-programming-books,User,63646.0,1,0.071076766,12729.34264606163,15.0,16.0
76.0,209,1.0,1.0,414027,13662891,0.07852193995381063,0.5427251732101617,0.06004618937644342,1.0,0.0,0.0,0,0,MDQ6VXNlcjkwODk2MA==,JIghtuse,free-programming-books,free-programming-books,User,37444.0,1,0.107398316,7488.964438991249,13.0,17.0
117.0,401,0.8648648648648649,0.5714285714285714,414027,29809944,0.07390300230946882,1.508083140877598,0.581986143187067,0.8648648648648649,0.5714285714285714,2.635135135135135,199,0,MDQ6VXNlcjU5NjExNTk3,LuigiImVector,free-programming-books,free-programming-books,User,67507.0,1,0.14954568,13501.589727416636,17.0,18.0
74.0,542,0.9545454545454546,0.9545454545454546,414027,6624432,0.06928406466512702,1.7990762124711317,0.5473441108545035,0.9545454545454546,0.0,0.0,0,0,MDQ6VXNlcjUyOTMwNQ==,luminousspice,free-programming-books,free-programming-books,User,34252.0,1,0.09158523,6850.554951138795,12.0,19.0
78.0,163,1.0,1.0,414027,777956733,0.06004618937644342,0.48498845265588914,0.10854503464203233,1.0,0.0,0.0,0,0,MDQ6VXNlcjM0NTE1MjI5,danielkrupinski,free-programming-books,free-programming-books,User,32036.0,1,0.046230372,6407.327738224716,11.0,20.0
60.0,15,0.9473684210526315,0.9473684210526315,414027,62104050,0.050808314087759814,0.05542725173210162,0.020785219399538105,0.9473684210526315,0.0,0.02631578947368421,1,0,MDQ6VXNlcjU3NjI4MjI=,quobit,free-programming-books,free-programming-books,User,25103.0,2,0.00040003844,5020.8002400230735,7.0,21.0
46.0,48,0.9166666666666666,0.9166666666666666,414027,3726243,0.050808314087759814,3.5450346420323324,3.4341801385681294,0.9166666666666666,0.0,0.0,0,0,MDQ6VXNlcjExNDQwNTY=,Mouseion,free-programming-books,free-programming-books,User,26751.0,1,0.059904657,5350.335942796619,10.0,22.0
75.0,55,0.8076923076923077,1.0,414027,28981890,0.04849884526558892,0.13163972286374134,0.004618937644341801,0.8076923076923077,1.0,0.09615384615384616,6,0,MDQ6VXNlcjIwMzcyMzYz,GintasS,free-programming-books,free-programming-books,User,25404.0,1,0.017311579,5080.910386947543,8.0,23.0
94.0,109,0.5833333333333334,0.0,414027,6210405,0.04849884526558892,0.2586605080831409,0.006928406466512702,0.5833333333333334,0.0,0.041666666666666664,3,0,MDQ6VXNlcjg5MjAzNjk4,ss-th24,free-programming-books,free-programming-books,User,25790.0,1,0.3044237,5158.282654216886,9.0,24.0
22.0,32,1.83e-322,1.0,414027,15318999,0.046189376443418015,0.07621247113163972,0.0023094688221709007,1.0,1.0,8.893292266045e-312,3,0,U_kgDOBYxtPg,eraysahin06,free-programming-books,free-programming-books,User,20396.0,1,0.019702736,4079.311821642518,2.0,25.0
42.0,147,0.9090909090909091,0.9090909090909091,414027,4968324,0.046189376443418015,0.4503464203233256,0.11085450346420324,0.9090909090909091,0.0,0.0,0,0,MDQ6VXNlcjQ0MzgyNzg=,sunxb10,free-programming-books,free-programming-books,User,21825.0,1,0.050245106,4365.130147064478,4.0,26.0
57.0,136,1.0,1.0,414027,9522621,0.04387990762124711,0.3972286374133949,0.08314087759815242,1.0,1.0,0.0,1,0,MDQ6VXNlcjEzMjI5ODM=,grogy,free-programming-books,free-programming-books,User,21956.0,1,0.016784828,4391.310070897639,5.0,27.0
36.0,9,0.625,1.0,414027,3726243,0.04157043879907621,4.228637413394919,4.2078521939953815,0.625,1.0,0.0,1,0,MDQ6VXNlcjE5MjcyMw==,hoganlong,free-programming-books,free-programming-books,User,22647.0,1,0.013029763,4529.5078178579,6.0,28.0
54.0,97,1.0,1.0,414027,10350675,0.04157043879907621,0.24942263279445728,0.025404157043879907,1.0,0.0,0.0,0,0,MDQ6VXNlcjM1NzM2NDUw,IgorLutiy,free-programming-books,free-programming-books,User,20844.0,1,0.05515413,4168.933092480153,3.0,29.0
26.0,10,1.0,1.0,414027,346540599,0.04157043879907621,1.2263279445727482,1.2494226327944573,1.0,1.0,0.0,1,0,MDQ6VXNlcjUzNDEwNzI=,davisonio,free-programming-books,free-programming-books,User,20384.0,1,0.014241652,4076.9085449917243,1.0,30.0
320.0,4,2.2816e-320,2.2816e-320,373119,1723063542,2.689075630252101,0.2857142857142857,0.25210084033613445,30.0,0.0,8.893292266045e-312,6,1,MDQ6VXNlcjE3MzY1OTU=,danistefanovic,build-your-own-x,build-your-own-x,User,325582.0,1,0.99324566,65117.09594744444,30.0,31.0
66.0,106,1.0,0.0,373119,509307435,0.5126050420168067,1.1932773109243697,0.3025210084033613,1.0,0.0,0.5,2,0,MDQ6VXNlcjM4OTM1NzM=,rohitpaulk,build-your-own-x,build-your-own-x,User,63153.0,2,0.0011327107,12630.80067962648,29.0,32.0
18.0,5,1.0,1.0,373119,200738022,0.13445378151260504,0.2605042016806723,0.2184873949579832,1.0,0.0,0.0,0,0,MDQ6VXNlcjMxNDk1ODA=,sarupbanskota,build-your-own-x,build-your-own-x,User,16745.0,1,0.028034344,3349.116820607707,27.0,33.0
