Repo Name,Repo URL,Stars,Forks,Contributors,Pull Requests (Open),Pull Requests (Closed),Open Issues,Language,Commits
freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,410247,39004,5812,66,39092,234,TypeScript,37591
free-programming-books,https://github.com/EbookFoundation/free-programming-books,350786,62853,3279,55,10393,84,HTML,9499
awesome,https://github.com/sindresorhus/awesome,347915,28557,644,40,2065,52,,1154
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,337493,31220,127,162,273,352,Markdown,571
public-apis,https://github.com/public-apis/public-apis,328004,34775,1379,406,2940,454,Python,4535
coding-interview-university,https://github.com/jwasham/coding-interview-university,312124,77981,352,8,1004,60,,2511
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,308760,40376,1282,5,4873,140,TypeScript,6243
system-design-primer,https://github.com/donnemartin/system-design-primer,289721,48206,122,246,326,478,Python,332
996.ICU,https://github.com/996icu/996.ICU,270282,21133,757,4,1983,16698,,3217
awesome-python,https://github.com/vinta/awesome-python,234646,25319,433,428,1544,443,Python,1679
react,https://github.com/facebook/react,232462,47651,1914,184,16688,961,JavaScript,20001
project-based-learning,https://github.com/practical-tutorials/project-based-learning,218288,28462,109,91,352,203,,570
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,217335,10258,1361,0,3036,0,,6709
vue,https://github.com/vuejs/vue,208395,33722,381,247,2316,601,TypeScript,3593
Python,https://github.com/TheAlgorithms/Python,197472,46280,1250,289,10137,353,Python,3490
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,190169,30495,219,228,545,357,JavaScript,1120
tensorflow,https://github.com/tensorflow/tensorflow,188127,74534,4800,6313,39163,7123,C++,176285
linux,https://github.com/torvalds/linux,188098,55192,0,444,609,447,C,1336263
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,181065,33596,211,45,846,126,,1899
CS-Notes,https://github.com/CyC2018/CS-Notes,178945,51193,238,65,554,213,,3781
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,176202,26012,2698,339,7183,472,Shell,7477
computer-science,https://github.com/ossu/computer-science,175491,22266,166,2,458,16,,1066
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,171695,45097,769,37,5105,205,Python,6404
bootstrap,https://github.com/twbs/bootstrap,171438,79006,1630,178,15301,677,JavaScript,22936
flutter,https://github.com/flutter/flutter,168751,28062,2043,225,58750,13390,Dart,82873
vscode,https://github.com/microsoft/vscode,167571,30634,2660,499,36358,9149,TypeScript,130053
gitignore,https://github.com/github/gitignore,164507,83118,1495,490,4002,495,,3675
Python-100-Days,https://github.com/jackfrued/Python-100-Days,161024,52950,14,153,197,699,Jupyter Notebook,454
the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,158601,10025,108,81,216,86,,1069
the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,154769,14597,182,129,465,247,,1218
JavaGuide,https://github.com/Snailclimb/JavaGuide,148205,45708,650,0,1440,64,Java,5738
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,148099,27680,640,58,3168,2358,Python,7689
javascript,https://github.com/airbnb/javascript,146149,26619,555,72,1556,167,JavaScript,1983
transformers,https://github.com/huggingface/transformers,139816,28039,3079,540,18553,1529,Python,18101
awesome-go,https://github.com/avelino/awesome-go,138466,12109,2274,108,4681,113,Go,5006
youtube-dl,https://github.com/ytdl-org/youtube-dl,134296,10211,1010,498,4463,4188,Python,18886
next.js,https://github.com/vercel/next.js,129528,27708,3809,667,26590,3367,JavaScript,27394
ollama,https://github.com/ollama/ollama,128063,10427,435,206,2780,1559,Go,3893
fucking-algorithm,https://github.com/labuladong/fucking-algorithm,126878,23304,100,40,463,44,Markdown,516
go,https://github.com/golang/go,125967,17889,2696,338,4044,9491,Go,62324
30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,122711,12082,460,0,1617,0,JavaScript,9737
tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,121956,15004,170,12,539,49,TypeScript,1300
awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,120666,16232,133,262,405,262,HTML,659
react-native,https://github.com/facebook/react-native,120660,24506,3903,308,20649,905,C++,35203
Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,119927,11600,8,0,38,1,Batchfile,323
scrcpy,https://github.com/Genymobile/scrcpy,117857,11136,152,54,474,2260,C,2778
electron,https://github.com/electron/electron,115539,15809,1497,105,24235,969,C++,28988
PowerToys,https://github.com/microsoft/PowerToys,114953,6766,523,64,5719,5868,C#,7739
kubernetes,https://github.com/kubernetes/kubernetes,113218,40274,5238,694,82436,2578,Go,128151
free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,112673,28270,141,30,437,31,,924
d3,https://github.com/d3/d3,109845,22858,152,12,1183,21,Shell,4507
node,https://github.com/nodejs/node,109745,30658,4093,513,35541,2140,JavaScript,43540
hello-algo,https://github.com/krahets/hello-algo,109173,13586,196,19,1121,37,Java,2071
axios,https://github.com/axios/axios,106354,11013,495,102,1664,663,JavaScript,1634
three.js,https://github.com/mrdoob/three.js,104420,35555,2356,129,17388,550,JavaScript,44911
create-react-app,https://github.com/facebook/create-react-app,103103,26983,946,485,3821,2298,JavaScript,2819
TypeScript,https://github.com/microsoft/TypeScript,102278,12670,896,534,17891,6055,TypeScript,36449
nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,101827,10334,254,37,925,78,Dockerfile,3914
deno,https://github.com/denoland/deno,101816,5493,1049,142,14713,2184,Rust,13206
rust,https://github.com/rust-lang/rust,101391,13125,7384,708,79593,10691,Rust,281854
yt-dlp,https://github.com/yt-dlp/yt-dlp,101057,7917,1598,312,3134,1811,Python,23012
